name,activity
Espoo,ruotsi
Helsinki,ruotsi
Järvenpää,ruotsi
Kauniainen,ruotsi
Kirkkonummi,ruotsi
Kokkola,ruotsi
Lahti,ruotsi
Sipoo,ruotsi
Turku,ruotsi
Vaasa,ruotsi
Vantaa,ruotsi
Muonio,suomi
Utsjoki,saame
Sodankylä, saame
Kaskinen,suomi ja ruotsi
Pietarsaari,suomi ja ruotsi
Hämeenlinna,ruotsi
Porvoo,ruotsi
Raasepori,suomi ja ruotsi
Oulu,saame
Inari,saame
Hyvinkää,ruotsi
Kerava,ruotsi
