"name","activity"
"Enontekiö","Muuta laajamittaista kaksikielistä toimintaa"
"Kotka","Muuta laajamittaista kaksikielistä toimintaa"
"Kristiinankaupunki","Muuta laajamittaista kaksikielistä toimintaa"
"Lahti","Muuta laajamittaista kaksikielistä toimintaa"
"Seinäjoki","Muuta laajamittaista kaksikielistä toimintaa"
"Utsjoki","Muuta laajamittaista kaksikielistä toimintaa"
"Varkaus","Muuta laajamittaista kaksikielistä toimintaa"
"Vihti","Muuta laajamittaista kaksikielistä toimintaa"
"Hamina","Suppeampaa kaksikielistä toimintaa"
"Hanko","Suppeampaa kaksikielistä toimintaa"
"Helsinki","Suppeampaa kaksikielistä toimintaa"
"Imatra","Suppeampaa kaksikielistä toimintaa"
"Isokyrö","Suppeampaa kaksikielistä toimintaa"
"Jyväskylä","Suppeampaa kaksikielistä toimintaa"
"Kaskinen","Suppeampaa kaksikielistä toimintaa"
"Kirkkonummi","Suppeampaa kaksikielistä toimintaa"
"Kurikka","Suppeampaa kaksikielistä toimintaa"
"Lapinjärvi","Suppeampaa kaksikielistä toimintaa"
"Lappeenranta","Suppeampaa kaksikielistä toimintaa"
"Lapua","Suppeampaa kaksikielistä toimintaa"
"Laukaa","Suppeampaa kaksikielistä toimintaa"
"Loviisa","Suppeampaa kaksikielistä toimintaa"
"Mynämäki","Suppeampaa kaksikielistä toimintaa"
"Myrskylä","Suppeampaa kaksikielistä toimintaa"
"Mäntsälä","Suppeampaa kaksikielistä toimintaa"
"Oulu","Suppeampaa kaksikielistä toimintaa"
"Parainen","Suppeampaa kaksikielistä toimintaa"
"Pielavesi","Suppeampaa kaksikielistä toimintaa"
"Pyhtää","Suppeampaa kaksikielistä toimintaa"
"Ristijärvi","Suppeampaa kaksikielistä toimintaa"
"Salo","Suppeampaa kaksikielistä toimintaa"
"Sastamala","Suppeampaa kaksikielistä toimintaa"
"Uusikaarlepyy","Suppeampaa kaksikielistä toimintaa"
"Vehmaa","Suppeampaa kaksikielistä toimintaa"
"Ylitornio","Suppeampaa kaksikielistä toimintaa"
"Espoo Esbo","Sekä muuta laajamittaista että suppeampaa kaksikielistä toimintaa"
"Kokkola","Sekä muuta laajamittaista että suppeampaa kaksikielistä toimintaa"
"Tampere","Sekä muuta laajamittaista että suppeampaa kaksikielistä toimintaa"
"Turku","Sekä muuta laajamittaista että suppeampaa kaksikielistä toimintaa"
"Vaasa","Sekä muuta laajamittaista että suppeampaa kaksikielistä toimintaa"
"Vantaa","Sekä muuta laajamittaista että suppeampaa kaksikielistä toimintaa"
